date,open,high,low,close,volume,outstanding_share,turnover
2010/12/15,372.8939532,376.5387813,367.2865253,369.1089393,4021304,1011600000,0.003975192
2010/12/16,366.5855968,371.4920962,363.0809544,363.0809544,4184991,1011600000,0.004137002
2010/12/17,363.9220686,368.828568,356.3520409,368.4080109,4007725,1011600000,0.003961768
2010/12/20,368.4080109,371.4920962,350.6044274,358.7351978,4537742,1011600000,0.004485708
2010/12/21,359.0155692,365.7444826,358.174455,362.2398402,2660153,1011600000,0.002629649
2010/12/22,358.8753835,365.0435541,354.3894412,358.7351978,3171504,1011600000,0.003135136
2010/12/23,361.9594688,361.9594688,340.6512429,341.9129142,5011346,1011600000,0.004953881
2010/12/24,342.0530999,344.8568138,329.1560158,329.5765729,5026942,1011600000,0.004969298
2010/12/27,329.99713,344.8568138,321.0252454,326.6326733,4581996,1011600000,0.004529454
2010/12/28,325.6513734,331.5391726,320.744874,325.0906306,2099900,1011600000,0.00207582
2010/12/29,324.9504449,343.1745855,324.9504449,342.7540284,3829105,1011600000,0.003785197
2010/12/30,341.9129142,353.6885127,337.9877147,352.5670271,4414835,1011600000,0.00436421
2010/12/31,353.9688841,364.4828114,350.1838703,364.3426257,6935253,1011600000,0.006855727
2011/1/4,363.6416972,365.7444826,358.8753835,361.6790974,5591065,1011600000,0.005526952
2011/1/5,361.2585403,361.2585403,345.5577423,347.3801564,6168812,1011600000,0.006098074
2011/1/6,345.697928,352.4268414,336.445672,344.9969995,3741751,1011600000,0.003698844
2011/1/7,343.4549569,347.2399707,339.249386,341.4923571,2742769,1011600000,0.002711318
2011/1/10,341.4923571,344.1558853,326.6326733,329.1560158,4541865,1011600000,0.004489784
2011/1/11,329.7167586,330.8382442,309.8103897,311.2122466,5924566,1011600000,0.005856629
2011/1/12,314.0159606,316.5393031,301.3992479,308.4085327,4707826,1011600000,0.004653841
2011/1/13,308.8290898,320.4645026,308.8290898,320.1841312,2933176,1011600000,0.002899541
2011/1/14,320.0439455,320.0439455,308.5487184,312.0533608,1903594,1011600000,0.001881766
2011/1/17,311.0720609,311.0720609,292.2871776,300.1375766,4744199,1011600000,0.004689797
2011/1/18,294.6703344,308.1281613,293.1282917,307.0066757,2179419,1011600000,0.002154428
2011/1/19,306.3057472,312.6141036,300.6983194,309.670204,2523683,1011600000,0.002494744
2011/1/20,308.6889041,308.6889041,296.6329342,299.8572052,3144115,1011600000,0.003108061
2011/1/21,295.3712629,309.1094612,295.3712629,299.7170195,2870573,1011600000,0.002837656
2011/1/24,300.6983194,303.9225904,278.9695364,280.511579,3481909,1011600000,0.003441982
2011/1/25,280.2312077,287.3806782,277.5676794,286.8199354,1894858,1011600000,0.00187313
2011/1/26,286.8199354,301.1188765,284.8573356,300.6983194,3374113,1011600000,0.003335422
2011/1/27,294.6703344,314.4365176,294.5301487,310.090761,3451264,1011600000,0.003411688
2011/1/28,309.8103897,318.2215315,308.4085327,311.6328037,2981047,1011600000,0.002946863
2011/1/31,311.6328037,319.343017,308.5487184,317.9411601,2246859,1011600000,0.002221094
2011/2/1,317.520603,320.744874,314.0159606,315.4178175,1632324,1011600000,0.001613606
2011/2/9,314.0159606,314.0159606,303.5020333,304.0627761,1990412,1011600000,0.001967588
2011/2/10,303.642219,311.2122466,299.5768338,310.7916895,2417201,1011600000,0.002389483
2011/2/11,310.9318752,326.3523019,308.4085327,320.3243169,5526314,1011600000,0.005462944
2011/2/14,322.567288,339.3895716,320.3243169,329.5765729,9881126,1011600000,0.009767819
2011/2/15,332.9410296,336.0251149,323.5485879,327.6139731,4779663,1011600000,0.004724855
2011/2/16,344.8568138,360.4174262,343.8755139,360.4174262,19669544,1011600000,0.019443994
2011/2/17,357.4735265,372.8939532,354.8099983,368.2678252,12821289,1011600000,0.012674267
2011/2/18,368.5481966,379.2023095,361.6790974,364.4828114,7777967,1011600000,0.007688777
2011/2/21,364.4828114,378.9219381,359.576312,377.8004525,9944674,1011600000,0.009830639
2011/2/22,378.0808239,378.0808239,357.6137122,364.20244,8633839,1011600000,0.008534835
2011/2/23,360.5576118,365.8846683,352.7072128,363.3613258,5580264,1011600000,0.005516275
2011/2/24,358.8753835,365.8846683,354.8099983,360.2772405,2809958,1011600000,0.002777736
2011/2/25,360.4174262,364.4828114,351.8660987,354.5296269,4106292,1011600000,0.004059205
2011/2/28,352.5670271,367.2865253,352.14647,367.0061539,4063232,1011600000,0.004016639
2011/3/1,368.6883823,380.7443522,361.6790974,370.3706106,6677842,1011600000,0.006601267
2011/3/2,367.1463396,367.1463396,353.4081413,358.7351978,5391498,1011600000,0.005329674
2011/3/3,358.7351978,360.4174262,350.6044274,359.4361263,4284717,1011600000,0.004235584
2011/3/4,358.8753835,367.8472681,357.4735265,361.6790974,3243848,1011600000,0.003206651
2011/3/7,361.6790974,376.5387813,361.6790974,372.1930247,9978329,1011600000,0.009863908
2011/3/8,372.8939532,376.678967,364.9033684,367.2865253,5128643,1011600000,0.005069833
2011/3/9,367.9874538,379.6228666,364.4828114,378.7817524,6383942,1011600000,0.006310737
2011/3/10,378.501381,378.501381,368.5481966,376.8191527,4361387,1011600000,0.004311375
2011/3/11,372.1930247,386.7723371,370.2304249,377.2397098,6198429,1011600000,0.006127352
2011/3/14,371.9126533,378.501381,364.4828114,377.2397098,3509874,1011600000,0.003469626
2011/3/15,376.1182242,376.8191527,356.0716696,363.0809544,4387139,1011600000,0.004336832
2011/3/16,363.0809544,367.9874538,360.2772405,364.7631827,2367241,1011600000,0.002340096
2011/3/17,361.6790974,365.8846683,355.5109268,356.6324123,2081330,1011600000,0.002057463
2011/3/18,361.1183546,361.6790974,350.8847988,351.8660987,3760744,1011600000,0.00371762
2011/3/21,354.6698126,364.4828114,351.4455416,354.3894412,4374194,1011600000,0.004324035
2011/3/22,354.3894412,365.8846683,353.2679556,363.7818829,3300682,1011600000,0.003262833
2011/3/23,363.7818829,371.4920962,363.0809544,370.5107963,2419090,1011600000,0.00239135
2011/3/24,370.7911677,372.8939532,366.5855968,368.828568,2484434,1011600000,0.002455945
2011/3/25,368.828568,372.6135818,361.9594688,363.3613258,4046615,1011600000,0.004000213
2011/3/28,362.3800259,364.3426257,344.9969995,351.4455416,6956955,1011600000,0.00687718
2011/3/29,350.6044274,351.8660987,343.7353282,344.4362567,2875076,1011600000,0.002842108
2011/3/30,346.6792279,349.9034989,333.6419581,336.7260434,5092083,1011600000,0.005033692
2011/3/31,336.7260434,342.1932856,332.2401011,335.8849292,2803934,1011600000,0.002771781
2011/4/1,335.8849292,339.9503144,333.6419581,339.1092003,2402788,1011600000,0.002375235
2011/4/6,336.445672,341.7727285,329.2962015,331.3989869,3353137,1011600000,0.003314687
2011/4/7,333.6419581,340.5110572,329.1560158,339.8101287,2845304,1011600000,0.002812677
2011/4/8,339.8101287,341.4923571,333.0812153,338.5484575,6072431,1011600000,0.006002799
2011/4/11,338.2680861,338.2680861,324.2495164,327.193416,5876567,1011600000,0.005809181
2011/4/12,327.193416,333.221401,325.371002,329.1560158,2496812,1011600000,0.002468181
2011/4/13,328.0345302,336.445672,319.6233884,336.3054863,4963752,1011600000,0.004906833
2011/4/14,335.6045578,340.9316143,330.1373157,337.847529,3976604,1011600000,0.003931004
2011/4/15,337.9877147,339.8101287,326.7728589,336.1653006,4319645,1011600000,0.004270112
2011/4/18,328.1747159,336.1653006,328.1747159,333.0812153,2325834,1011600000,0.002299164
2011/4/19,331.3989869,332.8008439,327.3336017,330.6980585,1996419,1011600000,0.001973526
2011/4/20,330.6980585,334.2027009,325.6513734,329.1560158,2638936,1011600000,0.002608675
2011/4/21,329.4363872,335.7447435,327.0532303,331.9597297,2450676,1011600000,0.002422574
2011/4/22,329.8569443,334.9036294,326.6326733,328.1747159,2175296,1011600000,0.002150352
2011/4/25,327.4737874,327.7541588,316.9598602,325.2308163,3229875,1011600000,0.003192838
2011/4/26,326.6326733,326.9130446,314.2963319,315.4178175,3171573,1011600000,0.003135205
2011/4/27,315.4178175,318.2215315,311.2122466,312.6141036,1348996,1011600000,0.001333527
2011/4/28,312.6141036,313.4552178,302.5207334,305.6048188,2327330,1011600000,0.002300643
2011/4/29,308.4085327,314.1561462,305.6048188,313.1748464,1607644,1011600000,0.001589209
2011/5/3,313.3150321,319.0626456,309.8103897,314.0159606,1000462,1011600000,0.00098899
2011/5/4,311.3524323,314.9972604,305.1842617,307.2870471,1686010,1011600000,0.001666677
2011/5/5,304.9038903,309.670204,299.7170195,305.6048188,1492526,1011600000,0.001475411
2011/5/6,302.8011048,306.7263043,295.79182,302.6609191,2497188,1011600000,0.002468553
2011/5/9,304.9038903,309.670204,300.6983194,307.8477899,1078309,1011600000,0.001065944
2011/5/10,310.3711324,310.3711324,305.6048188,307.8477899,1015910,1011600000,0.001004261
2011/5/11,309.8103897,313.5954035,309.8103897,311.0720609,1363129,1011600000,0.001347498
2011/5/12,309.8103897,316.118746,308.1281613,308.268347,1017615,1011600000,0.001005946
2011/5/13,308.1281613,313.3150321,302.9412905,312.6141036,1118435,1011600000,0.00110561
2011/5/16,311.9131751,316.6794888,309.9505753,314.2963319,1406983,1011600000,0.001390849
2011/5/17,312.6141036,322.0065453,312.6141036,318.5019028,1936009,1011600000,0.001913809
2011/5/18,318.7822742,321.3056168,314.1561462,318.0813458,1175881,1011600000,0.001162397
2011/5/19,318.0813458,320.3243169,314.716889,315.1374461,1105705,1011600000,0.001093026
2011/5/20,315.1374461,315.9785603,307.9879756,312.7542893,1193694,1011600000,0.001180006
2011/5/23,308.4085327,316.5393031,297.193677,302.1001763,1580407,1011600000,0.001562284
2011/5/24,301.9599906,301.9599906,290.1843921,293.4086631,1781357,1011600000,0.00176093
2011/5/25,291.5862491,298.5955339,287.5208639,294.389963,3251800,1011600000,0.003214512
2011/5/26,298.1749768,299.8572052,287.3806782,287.3806782,1578969,1011600000,0.001560863
2011/5/27,288.5021638,293.4086631,283.315293,285.6984498,1882874,1011600000,0.001861283
2011/5/30,284.5769642,286.6797497,281.2125075,284.9975213,1080705,1011600000,0.001068313
2011/5/31,287.5208639,294.1095916,284.8573356,292.567549,1090015,1011600000,0.001077516
2011/6/1,294.389963,296.4927485,290.1843921,295.6516343,1654032,1011600000,0.001635065
2011/6/2,295.5114486,307.8477899,291.5862491,307.7076042,2502402,1011600000,0.002473707
2011/6/3,311.2122466,320.3243169,304.3431475,304.7637046,3655500,1011600000,0.003613582
2011/6/7,307.9879756,312.6141036,302.8011048,311.492618,958220,1011600000,0.000947232
2011/6/8,311.6328037,312.6141036,301.3992479,312.3337322,1089731,1011600000,0.001077235
2011/6/9,312.3337322,315.6981889,304.9038903,307.7076042,1130090,1011600000,0.001117131
2011/6/10,307.0066757,310.6515038,301.6796192,310.3711324,2877512,1011600000,0.002844516
2011/6/13,307.1468614,307.9879756,301.8198049,305.044076,1189138,1011600000,0.001175502
2011/6/14,304.7637046,308.4085327,302.8011048,306.7263043,1152621,1011600000,0.001139404
2011/6/15,306.7263043,307.7076042,299.9973909,300.1375766,1419491,1011600000,0.001403214
2011/6/16,300.1375766,300.1375766,292.2871776,292.4273633,1276481,1011600000,0.001261844
2011/6/17,294.389963,294.9507058,287.2404925,287.8012353,1518600,1011600000,0.001501186
2011/6/20,285.2778927,296.4927485,285.2778927,291.8666205,2313101,1011600000,0.002286577
2011/6/21,289.4834636,294.389963,285.4180784,291.5862491,1281494,1011600000,0.001266799
2011/6/22,291.7264348,293.5488488,285.4180784,287.3806782,1359727,1011600000,0.001344135
