,time,O,H,L,C,volume,outstanding_share,turnover,diff,up,down,avg_up,avg_down,rsi,lowest,highest,RSV,K,D,J,predict,5d,25d,s-l,signal,market,strategy
474,2008/6/24,4.203293413,4.304091816000001,4.1730538919999995,4.273852295,23527878,6493506000.0,0.003623293,0.070558882,0.070558882,0.0,0.058799069,0.050399202000000004,53.84615385,4.052095808,4.394810379,64.70588235,39.05640639,25.243433300000003,66.68235259,,4.225469061599999,4.558506985959999,-0.3330379243600001,-1,0.01678657068806455,-0.01678657068806455
475,2008/6/25,4.263772455,4.465369261,4.243612774,4.4250499,66197829,6493506000.0,0.010194466,0.151197605,0.151197605,0.0,0.083998669,0.047039255,64.10256410000001,4.052095808,4.465369261,90.24390244,56.11890508,35.53525722,97.28620078,,4.2436127742,4.5427824350399995,-0.29916966083999963,-1,0.035377358542991066,-0.035377358542991066
476,2008/6/26,4.4250499,4.435129741,4.314171657,4.3847305389999995,38192926,6493506000.0,0.0058817109999999995,-0.040319361,0.0,-0.040319361,0.062159015,0.053759148,53.62318841,4.052095808,4.465369261,80.48780488,64.24187168,45.10412871,102.51735759999998,,4.3040918162,4.5226227544,-0.2185309382000007,-1,-0.009111617249785264,0.009111617249785264
477,2008/6/27,4.312511448,4.312511448,4.137122226000001,4.178390278,52780390,6493506000.0,0.008128181,-0.20634026100000002,0.0,-0.20634026100000002,0.062159015,0.046149857,57.39051095,4.052095808,4.465369261,30.55954089,53.01442808,47.74089517,63.56149391,,4.293063285000001,4.4970318186,-0.20396853359999945,-1,-0.0470588236072218,0.0470588236072218
478,2008/6/30,4.178390278,4.209341317,4.137122226000001,4.178390278,19643177,6493506000.0,0.003025049,0.0,0.0,0.0,0.036959415,0.046149857,44.47086801,4.052095808,4.465369261,30.55954089,45.52946568,47.003752,42.58089304,,4.2880826579999995,4.4706344956,-0.18255183760000016,-1,0.0,-0.0
479,2008/7/1,4.188707291,4.199024304,4.085537161,4.106171187,19991371,6493506000.0,0.003078671,-0.072219091,0.0,-0.072219091,0.036959415,0.053146452000000004,41.01776705,4.052095808,4.465369261,13.08464849,34.71452662,42.90734354,18.32889277,,4.2545464364,4.444573957839999,-0.19002752143999935,-1,-0.017283950563509287,0.017283950563509287
480,2008/7/2,4.126805213,4.168073265,4.085537161,4.137122226000001,18502686,6493506000.0,0.002849414,0.030951039,0.030951039,0.0,0.030358107000000002,0.053146452000000004,36.35502959,4.052095808,4.465369261,20.57388809,30.00098044,38.60522251,12.79249631,,4.1969609016,4.419348268039999,-0.22238736643999957,-1,0.0075376884183471216,-0.0075376884183471216
481,2008/7/3,4.085537161,4.21965833,4.044269109,4.1577562519999995,28384251,6493506000.0,0.004371175,0.020634026,0.020634026,0.0,0.008597511,0.053146452000000004,13.92445583,4.044269109,4.465369261,26.95015489,28.98403859,35.398161200000004,16.15579337,,4.1515660442,4.39131919676,-0.23975315255999963,-1,0.0049875311563973845,-0.0049875311563973845
482,2008/7/4,4.188707291,4.199024304,4.126805213,4.147439239,17168037,6493506000.0,0.0026438779999999997,-0.010317013,0.0,-0.010317013,0.008597511,0.048146061,15.15151515,4.044269109,4.465369261,24.50014081,27.489406,32.76190947,16.94439905,,4.1453758363999995,4.366506187479999,-0.22113035107999934,-1,-0.0024813895704052236,0.0024813895704052236
483,2008/7/7,4.147439239,4.333145474,4.147439239,4.302194435,46007756,6493506000.0,0.007085195,0.154755195,0.154755195,0.0,0.034390042999999995,0.013756016999999999,71.42857143,4.044269109,4.465369261,61.25035201,38.74305467,34.75562453,46.71791494,,4.1701366678,4.346673805199999,-0.17653713739999954,-1,0.0373134329599758,-0.0373134329599758
484,2008/7/8,4.333145474,4.3744135260000006,4.240292356,4.291877422,41155144,6493506000.0,0.006337893000000001,-0.010317013,0.0,-0.010317013,0.034390042999999995,0.01547552,68.96551724,4.044269109,4.435129741,63.34951456,46.94520797,38.81881901,63.19798588,,4.2072779148,4.3240095807199985,-0.11673166591999884,-1,-0.0023980815269684097,0.0023980815269684097
485,2008/7/9,4.312511448,4.487900669,4.312511448,4.436315604,80025335,6493506000.0,0.012323903,0.144438182,0.144438182,0.0,0.058463074000000004,0.0034390040000000003,94.44444444,4.044269109,4.487900669,88.37209302,60.75416965,46.13060256,90.00130384,,4.267116590399999,4.309138851599999,-0.04202226120000052,-1,0.03365384604406807,-0.03365384604406807
486,2008/7/10,4.3847305389999995,4.436315604,4.333145474,4.364096513,46247752,6493506000.0,0.007122154,-0.072219091,0.0,-0.072219091,0.053304567000000004,0.01547552,77.5,4.044269109,4.487900669,72.09302326,64.53378752,52.26499755,89.07136747,,4.308384642599999,4.292588939679999,0.01579570292000021,1,-0.01627906971606885,0.01627906971606885
487,2008/7/11,4.3537795,4.3744135260000006,4.271243396,4.312511448,27521597,6493506000.0,0.004238326,-0.051585065,0.0,-0.051585065,0.049865562999999995,0.02407303,67.44186047,4.044269109,4.487900669,60.46511628,63.17756377,55.90251962,77.72765208,,4.3413990844,4.275185206,0.06621387840000015,1,-0.011820330931347378,-0.011820330931347378
488,2008/7/14,4.302194435,4.364096513,4.229975343,4.322828461,26003014,6493506000.0,0.004004464,0.010317013,0.010317013,0.0,0.051585065,0.022353527999999998,69.76744186,4.044269109,4.487900669,62.79069767,63.04860841,58.28454922,72.57672679,,4.345525889599999,4.258597346439999,0.08692854315999998,1,0.0023923444898412694,0.0023923444898412694
489,2008/7/15,4.322828461,4.333145474,4.168073265,4.188707291,43397574,6493506000.0,0.006683227,-0.134121169,0.0,-0.134121169,0.025792533,0.044707055999999995,36.58536585,4.044269109,4.487900669,32.55813953,52.88511878,56.48473907,45.6858782,,4.3248918633999995,4.251562803759999,0.0733290596400007,1,-0.031026253114141422,-0.031026253114141422
490,2008/7/16,4.1577562519999995,4.188707291,4.054586122,4.095854173999999,40791413,6493506000.0,0.006281878,-0.092853117,0.0,-0.092853117,0.025792533,0.058463074000000004,30.612244899999997,4.054586122,4.487900669,9.523809523999999,38.43134903,50.46694239,14.36016231,,4.2567995774,4.241620523599999,0.01517905380000073,1,-0.02216748761593057,-0.02216748761593057
491,2008/7/17,4.137122226000001,4.178390278,4.0752201480000005,4.095854173999999,28267858,6493506000.0,0.00435325,0.0,0.0,0.0,0.0017195020000000001,0.058463074000000004,2.857142857,4.054586122,4.487900669,9.523809523999999,28.79550253,43.243129100000004,-0.09975062400000001,,4.203151109599999,4.236113373199999,-0.032962263599999986,-1,0.0,0.0
492,2008/7/18,4.116488200000001,4.178390278,4.064903135,4.168073265,40687341,6493506000.0,0.006265850999999999,0.072219091,0.072219091,0.0,0.013756016999999999,0.046426559000000006,22.85714286,4.054586122,4.487900669,26.19047619,27.92716042,38.13780621,7.505868831,,4.174263472999999,4.23389818004,-0.059634707040000734,-1,0.017632241757638445,-0.017632241757638445
493,2008/7/21,4.126805213,4.229975343,4.116488200000001,4.209341317,39866712,6493506000.0,0.006139474,0.041268052,0.041268052,0.0,0.020634026,0.037829048,35.29411765,4.054586122,4.487900669,35.71428571,30.52286885,35.59949375,20.36961904,,4.151566044199999,4.233333708959999,-0.08176766476000008,-1,0.009900990068129056,-0.009900990068129056
494,2008/7/22,4.209341317,4.229975343,4.1577562519999995,4.21965833,39199221,6493506000.0,0.00603668,0.010317013,0.010317013,0.0,0.020634026,0.037829048,35.29411765,4.054586122,4.436315604,43.24324324,34.76299365,35.32066039,33.64766017,,4.157756251999999,4.23398830564,-0.07623205364000096,-1,0.0024509803845873535,-0.0024509803845873535
495,2008/7/23,4.229975343,4.260926383,4.178390278,4.188707291,27885940,6493506000.0,0.004294435,-0.030951039,0.0,-0.030951039,0.020634026,0.020634026,50.0,4.054586122,4.3744135260000006,41.93548387,37.15382372,35.93171483,39.5980415,,4.176326875399999,4.2281633437999995,-0.051836468400000335,-1,-0.007334963302585651,0.007334963302585651
496,2008/7/24,4.199024304,4.250609369,4.178390278,4.240292356,43442934,6493506000.0,0.006690211999999999,0.051585065,0.051585065,0.0,0.029231537000000002,0.0051585070000000005,85.0,4.054586122,4.364096513,60.0,44.76921581,38.87754849,56.55255046,,4.2052145117999995,4.234481624879999,-0.02926711307999952,-1,0.012315270897739206,-0.012315270897739206
497,2008/7/25,4.199024304,4.209341317,4.147439239,4.188707291,35313859,6493506000.0,0.005438335,-0.051585065,0.0,-0.051585065,0.029231537000000002,0.013756016999999999,68.0,4.054586122,4.333145474,48.14814815,45.89552659,41.21687453,55.25283073,,4.209341316999999,4.232688599159999,-0.023347282160000482,-1,-0.012165450084357432,0.012165450084357432
498,2008/7/28,4.209341317,4.271243396,4.199024304,4.229975343,44351267,6493506000.0,0.006830096,0.041268052,0.041268052,0.0,0.02407303,0.013756016999999999,63.63636364,4.054586122,4.271243396,80.95238095,57.58114471,46.67163125,79.40017163,,4.213468122199999,4.23375587636,-0.020287754160000837,-1,0.009852216718191364,-0.009852216718191364
499,2008/7/29,4.188707291,4.188707291,4.137122226000001,4.1577562519999995,34660432,6493506000.0,0.005337707,-0.072219091,0.0,-0.072219091,0.017195022,0.025792533,40.0,4.064903135,4.271243396,45.0,53.38742981,48.91023077,62.34182788,,4.201087706599999,4.22911203464,-0.028024328040000768,-1,-0.017073170679236527,0.017073170679236527
500,2008/7/30,4.199024304,4.209341317,4.126805213,4.168073265,24751118,6493506000.0,0.0038116720000000003,0.010317013,0.010317013,0.0,0.017195022,0.025792533,40.0,4.064903135,4.271243396,50.0,52.25828654,50.02624936,56.72236089,,4.196960901399999,4.21883296924,-0.021872067840001286,-1,0.0024813895704054456,-0.0024813895704054456
501,2008/7/31,4.178390278,4.188707291,4.106171187,4.116488200000001,23288344,6493506000.0,0.003586405,-0.051585065,0.0,-0.051585065,0.017195022,0.029231537000000002,37.03703704,4.106171187,4.271243396,6.25,36.92219103,45.65822992,19.45011325,,4.1722000702,4.20810327568,-0.035903205480000366,-1,-0.012376237585161376,0.012376237585161376
502,2008/8/1,4.126805213,4.21965833,4.064903135,4.188707291,31317274,6493506000.0,0.0048228609999999995,0.072219091,0.072219091,0.0,0.020634026,0.029231537000000002,41.37931034,4.064903135,4.271243396,60.0,44.61479402,45.31041795,43.22354615,,4.1722000702,4.2085159562,-0.036315886000000575,-1,0.017543859593718514,-0.017543859593718514
503,2008/8/4,4.168073265,4.168073265,4.085537161,4.106171187,20823204,6493506000.0,0.0032067740000000003,-0.082536104,0.0,-0.082536104,0.020634026,0.034390042999999995,37.5,4.064903135,4.271243396,20.0,36.40986268,42.34356619,24.54245565,,4.147439239,4.205627192560001,-0.05818795356000095,-1,-0.019704433436382618,0.019704433436382618
504,2008/8/5,4.116488200000001,4.147439239,4.064903135,4.0752201480000005,19648276,6493506000.0,0.003025835,-0.030951039,0.0,-0.030951039,0.013756016999999999,0.03954855,25.80645161,4.064903135,4.271243396,5.0,25.93990845,36.87568028,4.068364798,,4.1309320182,4.204389151,-0.07345713279999977,-1,-0.0075376884183468995,0.0075376884183468995
505,2008/8/6,4.106171187,4.178390278,4.064903135,4.126805213,20709211,6493506000.0,0.003189219,0.051585065,0.051585065,0.0,0.022353527999999998,0.027512035,44.82758621,4.064903135,4.271243396,30.0,27.293272299999998,33.68154429,14.51672833,,4.1226784078000005,4.20397647048,-0.08129806267999928,-1,0.01265822780772119,-0.01265822780772119
506,2008/8/7,4.126805213,4.1577562519999995,4.044269109,4.126805213,17117699,6493506000.0,0.002636126,0.0,0.0,0.0,0.020634026,0.027512035,42.85714286,4.044269109,4.271243396,36.36363636,30.31672699,32.55993852,25.83030393,,4.124741810400001,4.20273842892,-0.0779966185199994,-1,0.0,-0.0
507,2008/8/8,4.126805213,4.126805213,3.910147939,3.951415992,34840351,6493506000.0,0.005365414000000001,-0.17538922199999998,0.0,-0.17538922199999998,0.020634026,0.048146061,30.0,3.910147939,4.21965833,13.33333333,24.65559577,29.9251576,14.1164721,,4.077283550600001,4.19489749904,-0.11761394843999895,-1,-0.04249999986611919,0.04249999986611919
508,2008/8/11,3.961733005,3.972050018,3.724441705,3.7657097569999998,43679194,6493506000.0,0.006726596,-0.185706235,0.0,-0.185706235,0.008597511,0.0790971,9.803921569,3.724441705,4.21965833,8.333333332999999,19.21484162,26.35505228,4.934420319,,4.0091912646,4.1734381119199995,-0.1642468473199994,-1,-0.04699738913239693,0.04699738913239693
509,2008/8/12,3.745075731,3.8379288480000002,3.652222614,3.7657097569999998,28313083,6493506000.0,0.004360215,0.0,0.0,0.0,0.008597511,0.065341083,11.62790698,3.652222614,4.21965833,20.0,19.47656108,24.06222188,10.30523949,,3.9472891864000004,4.1523914053199995,-0.20510221891999914,-1,0.0,-0.0
510,2008/8/13,3.745075731,3.755392744,3.6419056010000004,3.7038076789999996,20442759,6493506000.0,0.003148185,-0.061902078,0.0,-0.061902078,0.008597511,0.070499589,10.86956522,3.6419056010000004,4.21965833,10.71428571,16.55580263,21.56008213,6.547243623,,3.8626896796000003,4.123091088319999,-0.2604014087199986,-1,-0.016438356112000285,0.016438356112000285
511,2008/8/14,3.7038076789999996,3.724441705,3.652222614,3.6831736530000003,12785354,6493506000.0,0.001968945,-0.020634026,0.0,-0.020634026,0.0,0.073938593,0.0,3.6419056010000004,4.178390278,7.692307692000001,13.60130432,18.90715619,2.989600564,,3.7739633676000004,4.095854173919999,-0.321890806319999,-1,-0.005571030622618656,0.005571030622618656
512,2008/8/15,3.6831736530000003,3.745075731,3.6625396269999997,3.714124692,14984684,6493506000.0,0.002307642,0.030951039,0.030951039,0.0,0.0051585070000000005,0.073938593,6.52173913,3.6419056010000004,4.178390278,13.46153846,13.554715700000001,17.12300936,6.418128372999999,,3.7265051076,4.07191870368,-0.3454135960799998,-1,0.00840336131715902,-0.00840336131715902
